

报告日期,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
资产减值损失(万元),10,111,-716,4563,217,-123,-70,1504,427,223,-31,1182,79,191,-29,2016,-75,-108,-56,1294,128,237,83,1059,-102,-310,-6,433,-1,-65,0,
公允价值变动收益(万元),-6,-21,6,-42,-59,-4,-10,-175,-93,-6,27,1,59,-270,-269,100,-271,259,256,-543,-1116,-1632,-784,-114,-8,-257,105,31,493,6,0,
投资收益(万元),2400,2005,10,11679,8827,1646,42,2557,1219,818,-27,2495,-332,-391,39,5600,3519,3254,285,9511,10061,12020,11663,7152,3997,3207,1337,2911,1490,1015,161,
对联营企业和合营企业的投资收益(万元),--,67,--,582,7868,741,--,2485,1214,839,--,1936,279,153,0,96,9,17,17,133,81,81,81,--,13,13,0,--,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,--,0,0,0,--,--,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,--,--,--,--,--,--,
营业利润(万元),7012,13893,16115,22625,14998,13694,13888,20526,6332,10540,10121,12177,1769,3893,5206,7676,436,3873,2277,8950,5348,8425,10025,5680,1779,2905,1665,6288,3802,3795,1842,
营业外收入(万元),4088,2946,1312,7960,2159,972,201,4130,1226,364,68,2877,1221,678,37,1425,566,245,98,1376,495,221,30,552,168,80,76,43,25,20,0,
营业外支出(万元),584,418,331,1847,497,278,167,1793,1041,576,529,994,355,183,138,785,406,253,184,670,464,345,84,1174,76,40,17,400,231,145,122,
非流动资产处置损失(万元),170,170,--,382,14,--,9,476,8,418,3,13,11,11,4,101,59,4,4,30,22,18,8,--,4,1,1,--,0,0,0,
利润总额(万元),10516,16421,17096,28737,16660,14388,13922,22863,6516,10328,9659,14060,2635,4387,5104,8317,596,3866,2191,9656,5379,8301,9971,5058,1871,2945,1724,5930,3596,3670,1720,
所得税费用(万元),-14,-23,1,518,28,28,0,100,116,69,5,585,-133,-207,-57,235,467,458,1,943,761,1005,1349,289,134,13,0,107,116,43,53,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,--,--,--,--,--,--,
净利润(万元),10530,16444,17094,28219,16631,14360,13922,22763,6401,10259,9654,13474,2769,4594,5161,8082,129,3407,2190,8713,4617,7296,8623,4768,1737,2932,1724,5824,3481,3627,1667,
归属于母公司所有者的净利润(万元),5773,10520,10051,17106,10575,7807,7769,13338,2553,5256,5448,7460,810,2062,2730,4847,603,3017,1562,6489,4639,7420,8274,4933,2146,2470,1269,3794,2491,2217,956,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),4757,5925,7043,11113,6056,6554,6153,9425,3848,5003,4206,6014,1959,2532,2432,3235,-475,390,628,2224,-21,-125,348,-165,-409,462,455,2030,990,1409,711,
基本每股收益,0.14,0.25,0.24,0.41,0.25,0.19,0.28,0.48,0.09,0.19,0.2,0.27,0.03,0.07,0.1,0.17,0.02,0.12,0.06,0.26,0.25,0.47,0.53,0.31,0.14,0.16,0.08,0.24,0.16,0.14,0.06,
稀释每股收益,0.14,0.25,0.24,0.41,0.25,0.19,0.28,0.48,0.09,0.19,0.2,0.27,0.03,0.07,0.1,0.17,0.02,0.12,0.06,0.26,0.25,0.47,0.53,0.31,0.14,0.16,0.08,0.24,--,0,0.06,
