

报告日期,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
存货(万元),59060,47016,54074,63189,48642,34080,36811,39471,33576,16327,19290,25340,16229,10738,14358,21880,17228,13555,17868,25332,25412,24365,25857,31070,32384,28274,30381,27532,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
流动资产合计(万元),219277,231232,224969,230467,164347,178254,181335,182170,122824,136634,145428,153321,88678,105626,109187,116767,67146,76429,77573,77731,57069,68883,70306,67354,54623,57202,60341,59321,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0,--,--,0,--,--,--,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
投资性房地产(万元),1290,1302,1313,1324,1335,1346,1358,1368,1313,1324,1334,1345,1355,1366,1368,1052,373,377,380,383,--,--,--,0,--,--,--,0,
固定资产原值(万元),--,76869,--,75880,--,55571,--,53471,--,49887,--,49046,--,46114,0,45311,--,39176,--,38820,--,32415,--,31451,--,25280,--,23820,
累计折旧(万元),--,21662,--,19291,--,17226,--,15441,--,13816,--,12282,--,11312,0,9867,--,8735,--,7624,--,6808,--,5746,--,5081,--,4510,
固定资产净值(万元),--,55208,--,56588,--,38345,--,38030,--,36071,--,36764,--,34802,0,35444,--,30442,--,31196,--,25607,--,25705,--,20198,--,19310,
固定资产减值准备(万元),--,33,--,37,--,86,--,86,--,37,--,37,--,95,0,95,--,98,--,98,--,87,--,87,--,96,--,96,
固定资产(万元),54050,55175,55898,56551,42725,38260,38078,37944,35615,36033,36307,36727,34702,34706,35275,35348,33683,30344,30610,31098,29228,25520,25169,25618,20728,20103,19123,19215,
在建工程(万元),2472,2119,1169,1210,11018,11852,7347,3295,5072,3656,1316,1384,2328,1120,473,917,2643,3336,1761,1566,3317,4907,3924,3048,8116,7749,7659,6675,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,0,--,0,1,75,4,3,
固定资产清理(万元),--,--,--,--,7,7,7,7,19,--,--,--,--,0,0,0,--,0,11,9,--,--,--,0,--,--,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
无形资产(万元),4372,4476,4345,4388,3770,3792,3832,3694,2277,2271,2143,2192,2135,2042,2096,2188,1882,1927,1967,2008,1987,2021,1759,1789,1643,1544,1356,1673,
开发支出(万元),12,6,17,17,6,28,10,10,3,3,16,16,64,64,37,37,161,161,161,161,72,74,74,74,--,--,--,0,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,1,1,1,1,1,1,1,1,--,--,--,0,
长期待摊费用(万元),454,487,508,230,235,243,250,276,257,259,268,277,266,225,233,240,234,244,255,256,282,295,276,287,436,324,336,344,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
递延所得税资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,197,116,0,0,0,0,0,0,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
非流动资产合计(万元),62651,63566,63250,63720,59097,55528,50882,46593,44555,43545,41385,41941,40851,39524,39482,39783,38977,36390,35145,35482,35084,32934,31204,30817,30925,29794,28478,27911,
资产总计(万元),281928,294798,288220,294187,223443,233782,232216,228762,167379,180180,186814,195262,129529,145150,148669,156551,106123,112819,112718,113213,92154,101817,101510,98171,85548,86996,88819,87233,
短期借款(万元),--,--,500,500,500,900,900,900,900,500,--,--,--,0,0,0,--,0,--,200,400,200,--,2000,4200,--,--,0,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0,--,--,0,--,--,--,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
应付账款(万元),3106,1297,1226,9448,1710,1133,3599,2786,1307,742,1085,3648,941,902,783,2240,4853,1010,1395,1297,1875,1509,1953,2585,3369,2264,5009,2123,
预收账款(万元),28450,5753,10286,27782,17147,4984,4525,10241,4285,3561,7301,32991,3462,9294,13909,45040,5044,2747,8828,21921,2243,2310,3990,12237,309,3870,2180,9549,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
应付职工薪酬(万元),1555,1539,1230,1307,1430,1243,1077,1266,1033,928,1908,1667,1504,1049,1213,955,877,794,871,801,598,487,697,660,875,826,1092,937,
应交税费(万元),303,356,427,359,259,410,382,949,380,546,556,880,80,43,55,44,43,34,37,279,69,215,1170,307,16,15,128,131,
应付利息(万元),--,--,--,--,1,2,2,2,--,--,--,--,--,0,0,0,20,19,31,29,15,12,--,10,--,--,--,3,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
其他应付款(万元),3008,40014,36012,29619,10088,35749,33745,28667,1596,22919,23816,17228,1670,11323,11242,8617,3893,11499,7110,6390,2733,10625,8676,3977,5859,8103,7348,2787,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
其他流动负债(万元),15924,11337,10338,9067,17077,9844,11156,11623,17976,8938,8678,6868,10090,6488,6718,3830,914,4113,3694,1756,5371,3975,3211,2644,279,279,140,1987,
流动负债合计(万元),52346,60295,60019,78083,48214,54266,55387,56436,27477,38133,43344,63283,17746,29100,33919,60726,15644,20216,21965,32674,13304,19332,19696,24420,14907,15358,15898,17516,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,57,62,65,0,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
预计非流动负债(万元),--,1828,4574,3874,78,2247,3074,2270,78,495,1907,1853,89,1165,1568,448,479,268,1280,349,93,93,93,93,--,--,--,0,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
其他非流动负债(万元),2404,2459,2297,2561,982,1021,939,713,23,52,37,8,45,75,188,191,552,559,479,443,855,405,1035,48,48,48,149,10,
非流动负债合计(万元),2404,4287,6871,6434,1059,3268,4012,2983,100,546,1944,1861,134,1240,1755,639,1031,827,1759,793,949,499,1128,141,104,109,214,10,
负债合计(万元),54750,64583,66889,84517,49273,57535,59400,59419,27577,38680,45288,65144,17880,30339,35674,61365,16675,21043,23725,33466,14252,19831,20824,24561,15011,15467,16111,17526,
实收资本(或股本)(万元),35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,17600,17600,17600,17600,17600,17600,17600,17600,17600,17600,17600,17600,17600,17600,17600,17600,17600,17600,
资本公积(万元),6452,6452,6452,6452,6452,6452,6452,6452,6452,6452,24052,24052,24107,24052,24052,24052,24052,24052,24052,24052,24052,24052,24090,24090,24051,24051,24052,24052,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),6718,6718,6718,6718,5801,5801,5801,5801,5381,5381,5381,5381,5127,5127,5127,5127,4840,4840,4840,4840,4840,4840,4840,4840,5052,5052,5052,4840,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
未分配利润(万元),96901,98733,94450,86920,67770,68972,68684,65581,51438,52364,53551,46298,37690,40392,40054,29052,24338,26461,24801,19977,20703,24712,23841,19678,18291,19259,20372,18959,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
归属于母公司股东权益合计(万元),145271,147103,142820,135290,115223,116425,116136,113034,98471,99397,100584,93331,84524,87171,86832,75830,70830,72953,71293,66468,67195,71203,70370,66208,64994,65962,67076,65451,
少数股东权益(万元),81907,83112,78510,74380,58947,59823,56680,56310,41332,42103,40941,36787,27124,27640,26163,19356,18619,18823,17701,13279,10706,10783,10316,7402,5542,5567,5632,4255,
所有者权益(或股东权益)合计(万元),227178,230215,221330,209670,174170,176248,172816,169344,139803,141500,141525,130118,111648,114811,112995,95186,89448,91776,88994,79747,77901,81986,80686,73610,70536,71529,72708,69706,
负债和所有者权益(或股东权益)总计(万元),281928,294798,288220,294187,223443,233782,232216,228762,167379,180180,186814,195262,129529,145150,148669,156551,106123,112819,112718,113213,92154,101817,101510,98171,85548,86996,88819,87233,		
  
