

 报告日期,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-03-31, 
 经营活动产生的现金流量净额(万元),-817,10801,-2486,52411,-6804,7847,3779,12026,-33121,-3949,-1980,40622,-17624,3689,1343,51218,3519,11515,7436,24381,1650,11774,10784,10672,-6894,894,-555,5787,-1255,6648, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,--,0, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,--,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),606,113,78,54,45,27,2,53,81,42,1,151,49,10,6,1082,36,35,18,1094,111,94,142,455,285,285,0,85,--,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9,--,0,--,0,--,--,--,--,--,0,0,0,--,0, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,--,--,0,--,0,--,--,--,--,--,0,0,291,--,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,--, 
 投资活动现金流入小计(万元),606,113,78,54,45,27,2,53,81,42,1,151,49,10,26,1090,36,35,18,1094,111,94,142,455,285,285,0,377,--,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),6539,5046,2147,15723,13321,9346,5104,8952,6375,4246,536,6150,6572,4201,1136,7115,5903,2258,509,7703,5630,2848,1074,6173,4790,3426,1000,7711,6648,1549, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,2,--,0,0,0,--,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,--,0, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,--,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,--, 
 投资活动现金流出小计(万元),6539,5046,2147,15723,13321,9346,5104,8952,6375,4246,536,6150,6572,4201,1136,7115,5903,2258,509,7703,5630,2848,1074,6175,4790,3426,1000,7711,6648,1549, 
 投资活动产生的现金流量净额(万元),-5933,-4932,-2068,-15668,-13275,-9319,-5102,-8900,-6294,-4204,-535,-5999,-6523,-4191,-1110,-6025,-5867,-2222,-491,-6609,-5519,-2753,-932,-5720,-4505,-3141,-1000,-7334,-6648,-1549, 
 吸收投资收到的现金(万元),1470,1470,--,1470,1470,1470,--,112,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,--,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,0, 
 取得借款收到的现金(万元),--,--,--,500,500,--,--,900,900,500,--,--,--,--,--,--,--,0,--,1140,200,--,--,9000,9200,0,0,0,--,0, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,0, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,--,0, 
 筹资活动现金流入小计(万元),1470,1470,0,1970,1970,1470,0,1012,900,500,0,0,0,--,--,--,--,0,--,1140,200,--,--,9000,9200,0,0,0,--,0, 
 偿还债务支付的现金(万元),500,500,--,900,900,--,--,--,--,--,--,--,--,--,--,210,200,0,200,3029,2000,2000,2000,7000,5000,0,0,0,--,0, 
 分配股利、利润或偿付利息所支付的现金(万元),3539,3539,12,3581,3568,3555,23,3572,3418,3373,--,3520,3520,3520,--,3012,21,200,4,94,64,43,9,87,117,0,0,1805,1760,0, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2991,--,0,--,0,--,--,--,--,--,0,--,0,--,0, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21,--,0,--,--,--,--,--,0,0,110,--,0, 
 筹资活动现金流出小计(万元),4039,4039,12,4481,4468,3555,23,3572,3418,3373,0,3520,3520,3520,--,3222,221,221,204,3123,2064,2043,2009,7087,5117,0,0,1915,1760,0, 
 筹资活动产生的现金流量净额(万元),-2569,-2569,-12,-2511,-2498,-2085,-23,-2560,-2518,-2873,0,-3520,-3520,-3520,--,-3222,-221,-221,-204,-1983,-1864,-2043,-2009,1913,4083,0,0,-1915,-1760,0, 
 汇率变动对现金及现金等价物的影响(万元),-0,-0,--,-0,-0,0,-0,-0,127,-0,-0,-5,-4,-4,-0,106,93,93,--,0,4,27,-1,-0,--,-4,0,-22,--,0, 
 现金及现金等价物净增加额(万元),-9320,3299,-4567,34231,-22577,-3557,-1345,566,-41805,-11027,-2516,31098,-27671,-4027,232,42077,-2476,9165,6741,15789,-5729,7005,7841,6866,-7316,-2251,-1556,-3484,-9664,5099, 
 加:期初现金及现金等价物余额(万元),155726,155726,155726,121495,121495,121495,121495,120928,120928,120928,120928,89830,89830,89830,89830,47753,47753,47753,47753,31964,31964,31964,31961,25095,-3484,25099,0,28583,22555,0, 
 期末现金及现金等价物余额(万元),146406,159025,151159,155726,98918,117938,120150,121495,79123,109902,118413,120928,62158,85803,90062,89830,45277,56918,54494,47753,26235,38969,39802,31961,-10800,22848,0,25099,12891,0, 
 净利润(万元),--,22595,--,42376,--,8954,--,41275,--,14902,--,38452,--,23145,--,18446,--,12029,0,6158,0,8397,--,4142,--,2115,0,2146,--,0, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,0, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,--, 
 资产减值准备(万元),--,569,--,-302,--,157,--,665,--,-303,--,659,--,68,--,166,--,97,--,5247,--,120,--,1499,--,101,0,-748,--,0, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,2930,--,4254,--,1928,--,3502,--,1707,--,3229,--,1594,--,2613,--,1252,0,2253,0,1045,--,1908,--,838,0,1460,--,0, 
 无形资产摊销(万元),--,115,--,232,--,111,--,118,--,49,--,166,--,94,--,175,--,81,--,170,--,73,--,156,--,64,0,145,--,0, 
 长期待摊费用摊销(万元),--,70,--,47,--,33,--,37,--,18,--,40,--,15,--,41,--,23,--,66,--,26,--,44,--,21,0,40,--,0, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,0, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-228,--,88,--,3,--,8,--,-3,--,215,--,50,--,60,--,27,--,-281,--,112,--,183,--,129,0,35,--,0, 
 固定资产报废损失(万元),--,--,--,1,--,--,--,--,--,--,--,--,--,0,--,1,--,2,--,0,--,--,--,--,--,0,0,0,--,0, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,--,--,0,0,0,--,0, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,--, 
 财务费用(万元),--,19,--,59,--,35,--,-73,--,11,--,19,--,4,--,-93,--,11,--,113,--,16,--,93,--,4,0,41,--,0, 
 投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,-1,--,0,--,0,--,--,--,309,--,0,0,0,--,0, 
 递延所得税资产减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,-0,--,-116,--,-0,--,0,0,0,--,0, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,0,--,--,--,--,0,0,0,--,0, 
 存货的减少(万元),--,16244,--,-23717,--,5391,--,-14027,--,9335,--,-4027,--,11152,--,3076,--,11749,--,2009,--,8885,--,-5311,--,-756,0,-5619,--,0, 
 经营性应收项目的减少(万元),--,16086,--,42039,--,-3538,--,-15551,--,-5776,--,-1829,--,-4309,--,-1709,--,-1734,0,-1065,0,-1293,--,-766,--,216,0,1602,--,0, 
 经营性应付项目的增加(万元),--,-47599,--,-12666,--,-5228,--,-3929,--,-23890,--,3699,--,-28125,--,28442,--,-11934,0,9710,0,-5463,--,8416,--,-1838,0,6663,--,0, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,--,0,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,-86,--,0,--,-27,--,0,--,0,0,22,--,0, 
 经营活动产生现金流量净额(万元),--,10801,--,52411,--,7847,--,12026,--,-3949,--,40622,--,3689,--,51218,--,11515,--,24381,--,11774,--,10672,--,894,0,5787,--,0, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,--,0, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,--,0, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,--,0, 
 现金的期末余额(万元),146406,159025,151159,155726,98918,117938,120150,121495,79123,109902,118413,120928,62158,85803,90062,89830,45277,56918,54494,47753,26235,38969,39802,31961,-10800,22848,0,25099,12891,0, 
 现金的期初余额(万元),155726,155726,155726,121495,121495,121495,121495,120928,120928,120928,120928,89830,89830,89830,89830,47753,47753,47753,47753,31964,31964,31964,31961,25095,-3484,25099,0,28583,22555,0, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,--,0, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,0,0,0,--,0, 
 现金及现金等价物的净增加额(万元),-9320,3299,-4567,34231,-22577,-3557,-1345,566,-41805,-11027,-2516,31098,-27671,-4027,232,42077,-2476,9165,6741,15789,-5729,7005,7841,6866,-7316,-2251,0,-3484,-9664,0, 
